date,protocol,chain,loss_usd,vector_category,is_technical,description,source_file
2025-12-16,Yearn Finance (Rekt IV),Other,293000.0,Recycled logic flaw / Legacy debt,True,"Protocol: Yearn Finance (Rekt IV)
Date: Dec 16, 2025
Loss: $293,000
Vector: Recycled logic flaw / Legacy debt
Scenario: Attacker used a recycled 2023 error on old vaults. Highlighted the ""Grave Robber"" risk of dead code still being accessible.
Reference: https://rekt.news/yearn-rekt4/",rekt_news_extra.txt
2025-12-04,Palm USD (USPD),Other,1050000.0,CPIMP (Front-running Initialization),True,"Protocol: Palm USD (USPD)
Date: Dec 4, 2025
Loss: $1,050,000
Vector: CPIMP (Front-running Initialization)
Scenario: Attacker front-ran USPD's proxy deployment initialization (24-second gap).
Reference: https://rekt.news/uspd-rekt/",rekt_news_extra.txt
2025-12-01,yETH,Ethereum,9000000.0,Unsafe Math,True,src/test/2025-12/yETH_exp.sol,defihacklabs_incidents.json
2025-11-30,Yearn Finance (Rekt III),Other,9000000.0,Unchecked Arithmetic Underflow / Legacy Code,True,"Protocol: Yearn Finance (Rekt III)
Date: Nov 30, 2025
Loss: $9,000,000
Vector: Unchecked Arithmetic Underflow / Legacy Code
Scenario: A forgotten yETH pool was drained. Attacker minted 235 trillion tokens due to unchecked math in an abandoned product.
Reference: https://rekt.news/yearn-rekt3/",rekt_news_extra.txt
2025-11-20,Balancer II,Other,128000000.0,Precision Loss / Copy-paste bug,True,"Protocol: Balancer II
Date: Nov 20, 2025
Loss: $128,000,000
Vector: Precision Loss / Copy-paste bug
Scenario: A rounding function error drained $128M across multiple chains. Highlighted the risk of ""battle-tested"" code containing copy-pasted precision bugs.
Reference: https://rekt.news/balancer-rekt2/",rekt_news_extra.txt
2025-11-20,Libra II,Other,61500000.0,Legal/Governance speed conflict,True,"Protocol: Libra II
Date: Nov 20, 2025
Loss: $61,500,000
Vector: Legal/Governance speed conflict
Scenario: Judge unfroze funds allowing USDC to be flipped to SOL. Highlighted the conflict between legal speeds and blockchain execution.
Reference: https://rekt.news/libra2/",rekt_news_extra.txt
2025-11-20,GANA Payment,Other,3100000.0,EIP-7702 delegation / Leaked Owner Keys,True,"Protocol: GANA Payment
Date: Nov 20, 2025
Loss: $3,100,000
Vector: EIP-7702 delegation / Leaked Owner Keys
Scenario: Exploited just 9 days after launch. BSC audit rates vs Ethereum highlighted as a factor.
Reference: https://rekt.news/gana-payment-rekt/",rekt_news_extra.txt
2025-11-10,DRLVaultV3,Ethereum,100000.0,Price Manipulation,True,src/test/2025-11/DRLVaultV3_exp.sol,defihacklabs_incidents.json
2025-11-04,Moonwell,Base,1000000.0,Faulty Oracle,True,src/test/2025-11/Moonwell_exp.sol,defihacklabs_incidents.json
2025-11-03,BalancerV2,Ethereum,120000000.0,Precision Loss,True,src/test/2025-11/BalancerV2_exp.sol,defihacklabs_incidents.json
2025-10-20,Aevo (formerly Ribbon Finance),Other,2700000.0,Proxy Admin Vulnerability / Oracle Hijack,True,"Protocol: Aevo (formerly Ribbon Finance)
Date: Oct 20, 2025
Loss: $2,700,000
Vector: Proxy Admin Vulnerability / Oracle Hijack
Scenario: Dead code in old vaults allowed a proxy admin vulnerability. Attacker hijacked the oracle to rig prices and drained the contract in one atomic loop.
Reference: https://rekt.news/aevo-rekt/",rekt_news_extra.txt
2025-10-20,SharwaFinance,Arbitrum,146000.0,Post Insolvency Check,True,src/test/2025-10/SharwaFinance_exp.sol,defihacklabs_incidents.json
2025-10-10,Infini,Other,49500000.0,Rogue Developer / Admin Backdoor,True,"Protocol: Infini
Date: Oct 10, 2025
Loss: $49,500,000
Vector: Rogue Developer / Admin Backdoor
Scenario: A developer built a backdoor and waited 114 days before draining funds using admin privileges.
Reference: https://rekt.news/infini-rekt/",rekt_news_extra.txt
2025-10-07,TokenHolder,BSC,20.0,Access Control,True,src/test/2025-10/TokenHolder_exp.sol,defihacklabs_incidents.json
2025-10-04,Abracadabra (Rekt III),Other,1800000.0,Deprecated Cauldron / Uncollateralized Borrowing,True,"Protocol: Abracadabra (Rekt III)
Date: Oct 4, 2025
Loss: $1,800,000
Vector: Deprecated Cauldron / Uncollateralized Borrowing
Scenario: Deprecated contracts let anyone flip a flag and borrow uncollateralized MIM.
Reference: https://rekt.news/abracadabra-rekt3/",rekt_news_extra.txt
