incident_id,protocol,date,chain,scope,authority,time_to_detect_min,time_to_contain_min,containment_success_pct,loss_usd,loss_prevented_usd,notes,source,confidence_level,source_type
TETHER-PDVSA-2026,Tether/PDVSA,2026-01-11,TRON,Asset,Signer Set,0,0.0,100,0,182000000,Issuer-controlled freeze of 5 TRON wallets linked to PDVSA. Largest single-day USDT freeze.,https://finance.yahoo.com/news/tether-freezes-182m-usdt-largest-105442400.html,high,news_outlet
FLOW-2025-12,Flow Blockchain,2025-12-27,Flow,Account,Delegated Body,90,60.0,85,3900000,7074840000,"Isolated Recovery approach: validators halted network, restricted only affected accounts. CGC authorized burns. 87.96B FLOW duplicated (~7B nominal), 99.25% recovered.",https://flow.com/post/dec-27-technical-post-mortem,high,official_postmortem
GNOSIS-2025-12,Gnosis Chain,2025-12-15,Gnosis,Network,Governance,43200,86400.0,100,0,9400000,"Governance-approved hard fork ~30 days after initial exploit. Soft fork froze funds, hard fork redistributed $9.4M. Monerium/Stakewise protected €3M+.",https://forum.gnosis.io/t/balancer-hack-hard-fork/11884,high,governance_forum
BERA-2025-11,Berachain BEX,2025-11-03,Berachain,Network,Signer Set,30,30.0,100,0,12800000,"Validators coordinated 30-hour network halt. White-hat cooperation recovered all $12.8M+ via pre-signed transactions. Emergency hard-fork executed.",https://x.com/berachain/status/1986952318068146323,high,social_media
SONIC-2025-11,Sonic/Beets,2025-11-03,Sonic,Account,Signer Set,59,120.0,21.5,3195082,874380,"Sonic Labs deployed freezeAccount (commit b584c86) ~2hrs after exploit. Beets affected pools: stS/S, wOS/S. Freeze was effective for native $S tokens (21.5% of total value), but permit bypass allowed moving stS tokens. Total value at risk: $4.07M. $3.2M lost, $0.87M frozen.",https://x.com/SonicLabs/status/1985401737096671549,high,official_postmortem
BAL-2025-11-CSPv6,Balancer CSPv6,2025-11-03,Multi-chain,Protocol,Signer Set,21,21.0,100,94876000,45700000,"$94.8M exploit via CSP rounding bug. Hypernative detected at 07:52 UTC; CSPv6 paused at 08:07 UTC ($19.3M protected). StakeWise recovered $21.8M, whitehats $4.6M. Total $45.7M protected/recovered.",https://x.com/Balancer/status/1986104426667401241,high,official_postmortem
LIQWID-2025-10,Liqwid,2025-10-15,Cardano,Protocol,Delegated Body,0,45.0,100,0,0,Pause guardian multisig halted all markets during ADA flash crash; kill switch exists separately.,https://x.com/liqwidfinance/status/1976778373168087162,high,social_media
SUI-CETUS-2025-05,Sui/Cetus,2025-05-22,Sui,Account,Governance,0,120.0,73,223000000,162000000,"~$223M stolen. Validators froze 2 attacker addresses; 90.9% stake vote authorized recovery into recovery multisig.",https://blog.sui.io/cetus-incident-response-onchain-community-vote/,high,official_postmortem
CORK-2025-05,Cork Protocol,2025-05-28,Ethereum,Protocol,Signer Set,4,54.0,63,12000000,20000000,"Uniswap v4 hook exploit. Hypernative alerted at 11:43 UTC (4 min after exploit). War room with Spearbit, Quantstamp, Certora. All contracts paused by 12:33 UTC. ~$20M in other vaults protected (est.).",https://www.cork.tech/blog/post-mortem,high,official_postmortem
DELTAPRIME-2024-11,DeltaPrime,2024-11-11,Multi-chain,Protocol,Signer Set,0,10.0,0,4750000,0,"$4.75M exploit via claimRewards() vulnerability. Attack began 07:35 UTC, war room assembled by 07:50 UTC. Protocol paused within 10 minutes. Attackers mimicked LFJ contracts to bypass solvency checks. rTKN reimbursement plan implemented for users.",https://medium.com/@DeltaPrimeDefi/deltaprime-post-mortem-reimbursement-plan-07-12-2024-2d654912715b,high,official_postmortem
RADIANT-2024-10,Radiant Capital,2024-10-16,Multi-chain,Protocol,Delegated Body,0,30.0,0,50000000,0,"$50M exploit via compromised developer devices (3 hardware wallets). Attack began 15:46 UTC, detected immediately. Protocol paused across all chains by 17:40 UTC. Sophisticated attack bypassed front-end verification in Safe{Wallet}. Compromised signers removed from multisig by 22:10 UTC.",https://medium.com/@RadiantCapital/radiant-post-mortem-fecd6cd38081,high,official_postmortem
SONNE-2024-05,Sonne Finance,2024-05-14,Optimism,Protocol,Signer Set,25,30.0,32.5,20000000,6500000,"$20M donation attack on newly deployed VELO markets. Attack executed after 2-day timelock expired. Whitehat saved $6.5M by front-running with $100 VELO. Team detected incident 25 minutes after exploit, paused all Optimism markets within 30 minutes.",https://medium.com/@SonneFinance/post-mortem-sonne-finance-exploit-12f3daa82b06,high,official_postmortem
PLAYDAPP-2024-02,PlayDapp,2024-02-09,Multi-chain,Asset,Signer Set,4320,5100,11,290000000,32000000,"Private key compromise via phishing led to unauthorized minting of 1.79B PLA ($290M) across two attacks (Feb 9 10:39 PM and Feb 12 10:09 PM UTC+9). Team failed to detect first attack until second attack occurred 72 hours later. Hacker paused contract on Feb 13 11:05 AM UTC+9 (85 hours after first attack). Only $32M was liquidated before exchanges froze deposits. Migration to PDA with KYC/AML checks implemented.",https://playdapp.medium.com/playdapp-post-mortem-on-the-hacking-incident-361b4ddfb5a1,high,official_postmortem
STAKEWISE-2025,StakeWise,2025-11-04,Ethereum,Account,Delegated Body,0,12.4,100,0,20700000,"Emergency multisig (7 members) executed 90-minute recovery operation after Balancer V2 exploit. Burned 5,041 osETH ($19M) and 13,495 osGNO ($1.7M) from attacker, re-minted to DAO. 75% of stolen osTokens recovered. Followed by SWIP-37 to renounce contract ownership.",https://forum.stakewise.io/t/swip-37-renounce-oseth-osgno-token-contract-ownership-from-the-dao-address/1990,high,governance_forum
DYDX-MARKET-2023,dYdX,2023-11-07,Ethereum,Module,Delegated Body,2880,2880.0,0,9000000,0,"Coordinated attack across SUSHI and YFI markets. Attacker used 100+ wallets to build leveraged long positions, manipulated spot prices, and withdrew profits. dYdX responded within 2 days with: 1) 100% margin requirements, 2) Reduced position sizes, 3) Enhanced monitoring. $9M insurance fund loss. Incident led to improved risk controls and automatic margin adjustments in dYdX v4.",https://dydx.exchange/blog/sushi-yfi-incident,high,official_postmortem
CURVE-2023-07,Curve Finance,2023-07-30,Ethereum,Module,Delegated Body,0,30.0,9.6,50900000,5400000,"Vyper compiler bug (v0.2.15-0.3.0) caused reentrancy guard failure. 4 distinct exploits: pETH/ETH ($11M), msETH/ETH ($3.4M), alETH/ETH ($22.6M), CRV/ETH ($19.3M). Whitehat recovered $5.4M from CRV/ETH pool. Emergency subDAO killed gauge emissions. Bug patched in v0.3.1.",https://hackmd.io/@LlamaRisk/BJzSKHNjn,high,security_firm
MKR-USDC-2023,MakerDAO,2023-03-11,Ethereum,Module,Governance,0,7200.0,100,0,0,"Emergency governance response to USDC depeg. Vote 1 (Mar 11): Passed 16:14 UTC, executed Mar 13 16:16 UTC - reduced vault ceilings, increased PSM-USDP to 1B DAI, raised USDC fees to 1%, reduced GSM delay to 16hrs. Vote 2 (Mar 14): Passed Mar 15 18:18 UTC, executed Mar 16 10:20 UTC - added Debt Ceiling Breaker for instant vault pauses. 120-minute total response time.",https://vote.makerdao.com/executive/template-executive-vote-emergency-parameter-changes-march-11-2023,high,governance_forum
AAVE-2022-11,Aave v2,2022-11-22,Ethereum,Module,Governance,0,60.0,100,0,0,"Guardian paused CRV market borrowing during Curve exploit concern. Module-level pause. Timeline: Nov 22 08:12 UTC - Large CRV borrowing triggered price drop to $0.4096; 10:35 UTC - Price hit lowest; 11:00 UTC - Market rebounded; 13:31 UTC - First liquidation. $1.7M bad debt left on protocol. Multiple AIPs executed to manage CRV risk (AIP-121/124 freeze, AIP-125/126 unfreeze, AIP-286 LTV→0, AIP-288 LT/LTV reductions).",https://governance.aave.com/t/blameless-post-mortem-curve-aug-8-2023/14386,high,governance_forum
BNB-2022-10,BNB Chain,2022-10-06,BNB,Network,Signer Set,0,300.0,82.5,570000000,470000000,"BSC Token Hub bridge exploit via forged proof verification bug. 2M BNB ($570M) minted and taken. Validators coordinated 5-hour synchronized pause/resume (not rollback) among 26+ validators including CoinbaseCloud, Figment, and 24 others. $470M secured in exploiter's address, $100M moved off-chain. No users affected. First pause in BSC history.",https://www.bnbchain.org/en/blog/bnb-chain-a-decentralized-response,high,official_postmortem
USDC-TORNADO-2022,Circle/Tornado Cash,2022-08-08,Ethereum,Asset,Signer Set,0,0.0,100,0,75000,"Centre consortium (Circle + Coinbase) blacklisted Tornado Cash wallets following OFAC sanctions. 75,000 USDC frozen across sanctioned addresses including Tornado Cash's USDC pool. Blacklist function 'blacklist(address investor)' blocks transfers from sanctioned addresses. Circle confirmed compliance with OFAC requirements. Previous similar action: $100k frozen in July 2020.",https://www.theblock.co/post/162172/circle-freezes-usdc-funds-in-tornado-cashs-us-treasury-sanctioned-wallets,high,news_outlet
AXIE-2022-03,Ronin Bridge,2022-03-29,Ronin,Account,Signer Set,8640,8640.0,30,625000000,187500000,"Sky Mavis validator nodes compromised via spear-phishing. Attacker gained 5/9 validator keys (4 Sky Mavis + 1 Axie DAO) by exploiting gas-free RPC access. 173,600 ETH + 25.5M USDC ($625M total) drained in two transactions. Discovered 6 days later (Mar 29). $187.5M recovered via law enforcement/FBI action against North Korean Lazarus Group. Security upgrades: increased validators to 11+, targeting 21+, zero-trust model, $1M bug bounty.",https://roninchain.com/blog/posts/back-to-building-ronin-security-breach-6513cc78a5edc1001b03c364,high,official_postmortem
